algorithm,resolution,score,score_type
infomap,0.1,0.7962949942431066,AMI
infomap,0.1,0.8167391918110964,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,0.6591185814959067,AMI
infomap,0.1,0.6674629175595033,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.7962949942431066,AMI
infomap,0.1,0.8167391918110964,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.7962949942431066,AMI
infomap,0.1,0.8167391918110964,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.7962949942431067,AMI
infomap,0.1,0.8167391918110964,NMI
infomap,0.1,0.7962949942431067,AMI
infomap,0.1,0.8167391918110964,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,1.0,AMI
infomap,0.1,1.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.6591185814959067,AMI
infomap,0.1,0.6674629175595033,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.7962949942431066,AMI
infomap,0.1,0.8167391918110964,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.7962949942431066,AMI
infomap,0.1,0.8167391918110964,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
infomap,0.1,0.7962949942431066,AMI
infomap,0.1,0.8167391918110964,NMI
infomap,0.1,0.0,AMI
infomap,0.1,0.0,NMI
